final_capital,total_return,max_drawdown,trades,win_rate,avg_return,passed_candidates,initial_capital,hold_days,pullback_pct
73392.40483093262,2.669620241546631,-0.2682491162518652,578,0.5415224913494809,0.004127537408936102,3047,20000,4,0.002
81840.18340301514,3.0920091701507566,-0.21916472870051684,569,0.5360281195079086,0.004602751420446802,2641,20000,4,0.004
52387.81986999512,1.619390993499756,-0.31267887007916273,551,0.5317604355716878,0.003245139176125091,2052,20000,4,0.007
68231.8641204834,1.27439547068278,-0.37408110497574676,578,0.5259515570934256,0.0028546728724291536,3039,30000,4,0.002
121319.44507598877,3.043981502532959,-0.22161180365802902,571,0.5499124343257443,0.004359400988086588,2627,30000,4,0.004
79043.25939178467,1.6347753130594889,-0.32924594694975384,553,0.5298372513562387,0.002989752986079577,2036,30000,4,0.007
98442.4679107666,0.9688493582153321,-0.3759996731661409,578,0.5242214532871973,0.002359614321901697,3055,50000,4,0.002
198883.2363433838,2.9776647268676757,-0.22285249995816625,571,0.5499124343257443,0.004065988416299982,2618,50000,4,0.004
103738.16262817383,1.0747632525634767,-0.3334035522913923,554,0.5288808664259927,0.0022994242306531953,2033,50000,4,0.007
155330.65407562256,0.9416331759452821,-0.37966992644433295,578,0.5259515570934256,0.002232313211070884,3046,80000,4,0.002
315244.57218933105,2.940557152366638,-0.22259155284074406,571,0.5499124343257443,0.004065988416299982,2618,80000,4,0.004
157372.2494506836,0.9671531181335449,-0.3356197499980368,554,0.5288808664259927,0.0022994242306531953,2033,80000,4,0.007
199889.15019226074,0.9988915019226074,-0.3808030261275628,578,0.5259515570934256,0.002232313211070884,3046,100000,4,0.002
404160.7254486084,3.0416072544860837,-0.22302605798081898,571,0.5499124343257443,0.004065988416299982,2618,100000,4,0.004
201382.44359588623,1.0138244359588624,-0.33523202942292907,554,0.5288808664259927,0.0022994242306531953,2033,100000,4,0.007
